lead_indices,lead_names,metric,difference_vs12,ci_low,ci_high,valid,skipped,requested,seed
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,auroc_ectopy,0.00559776089564179,-0.005913438484278419,0.017216364627857795,2000,0,2000,31415
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,f1_ectopy,0.014150943396226412,-0.06032396667415002,0.08051795737712991,2000,0,2000,31415
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sensitivity_ectopy,0.036585365853658514,-0.05263157894736842,0.1216216216216216,2000,0,2000,31415
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sens95_ectopy,0.07317073170731703,-0.056338028169014065,0.1444477911646586,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,macro_f1,-0.006871022382323844,-0.03158320491382492,0.016864975196866257,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,macro_sensitivity,-0.007174486852715822,-0.031518535869542966,0.015779757255623254,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,auroc_af,-0.0005805408583188232,-0.006139257180768218,0.005397407026993624,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,f1_af,-0.01855491418932509,-0.03636409068193178,-0.002772262220538085,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sensitivity_af,-0.011111111111111183,-0.028735632183908066,0.0,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sens95_af,-0.005555555555555536,-0.025252525252525304,0.005747956946382342,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,auroc_ischemia,-0.009912353103014526,-0.021571040436557644,0.0004729690166193783,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,f1_ischemia,0.014302809276881878,-0.025564295500826596,0.05495727603040579,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sensitivity_ischemia,0.024242424242424288,-0.025649350649350665,0.0736196319018404,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sens95_ischemia,0.06060606060606055,-0.024695192086496433,0.1361354214647626,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,auroc_conduction,-0.005433366650402838,-0.010376374896067849,-0.0009454631092165504,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,f1_conduction,-0.010514157090392051,-0.02655879753656889,0.005218117545999938,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sensitivity_conduction,-0.0079155672823219,-0.03158312447786131,0.016263494602159097,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sens95_conduction,-0.0158311345646438,-0.04853074024838979,0.02241123949579834,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,auroc_ectopy,0.008368081338892996,-0.006704767836938363,0.02463693115279143,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,f1_ectopy,-0.024137344892061874,-0.10746397511916563,0.0577027389903328,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sensitivity_ectopy,-0.04878048780487804,-0.14458704382748386,0.045454545454545414,2000,0,2000,31415
0;2;3;5,I;III;aVR;aVF,sens95_ectopy,0.08536585365853655,-0.06383660665575558,0.20005050505050478,2000,0,2000,31415
0;3,I;aVR,macro_f1,0.00817688327950794,-0.01661283747666622,0.0313674598357197,2000,0,2000,31415
0;3,I;aVR,macro_sensitivity,0.008355280517581831,-0.015524249460972694,0.03212807624311662,2000,0,2000,31415
0;3,I;aVR,auroc_af,-0.0010582010582012025,-0.0062828894182542835,0.004593395017934732,2000,0,2000,31415
0;3,I;aVR,f1_af,-0.016759776536312887,-0.037367044702697354,0.0010700868521366363,2000,0,2000,31415
0;3,I;aVR,sensitivity_af,-0.01666666666666672,-0.04278649876372842,0.005715106732348064,2000,0,2000,31415
0;3,I;aVR,sens95_af,-0.011111111111111072,-0.02891018490349191,0.0062509827044025966,2000,0,2000,31415
0;3,I;aVR,auroc_ischemia,-0.007797822583814673,-0.0199690768452134,0.0032682755039657265,2000,0,2000,31415
0;3,I;aVR,f1_ischemia,0.03078834209268988,-0.004301915794744853,0.06551975852105651,2000,0,2000,31415
0;3,I;aVR,sensitivity_ischemia,0.036363636363636376,-0.006539215686274488,0.07947019867549676,2000,0,2000,31415
0;3,I;aVR,sens95_ischemia,0.048484848484848464,-0.020998023715414975,0.12291882198772319,2000,0,2000,31415
0;3,I;aVR,auroc_conduction,-0.00661762267708188,-0.012371605784244111,-0.0014722103724717553,2000,0,2000,31415
0;3,I;aVR,f1_conduction,-0.011286311996545617,-0.028024967015649688,0.00531723168710096,2000,0,2000,31415
0;3,I;aVR,sensitivity_conduction,-0.01319261213720313,-0.03804347826086951,0.008219742586180906,2000,0,2000,31415
0;3,I;aVR,sens95_conduction,-0.0158311345646438,-0.05263157894736836,0.024067405554597174,2000,0,2000,31415
0;3,I;aVR,auroc_ectopy,0.010324441651910599,-0.0063419506376432505,0.0291387546879336,2000,0,2000,31415
0;3,I;aVR,f1_ectopy,0.02885682574916759,-0.051982344014665595,0.10784276139452849,2000,0,2000,31415
0;3,I;aVR,sensitivity_ectopy,0.012195121951219523,-0.084363062004114,0.10344827586206895,2000,0,2000,31415
0;3,I;aVR,sens95_ectopy,0.04878048780487804,-0.07317073170731703,0.17073170731707316,2000,0,2000,31415
1,II,macro_f1,-0.004963406497774714,-0.034350616874449416,0.022905102351079756,2000,0,2000,31415
1,II,macro_sensitivity,-0.0016068750092818052,-0.030735559682069716,0.026542480423498268,2000,0,2000,31415
1,II,auroc_af,-0.0011757789535569163,-0.006735770696824822,0.004530576162724569,2000,0,2000,31415
1,II,f1_af,-0.007474581779352785,-0.025715244589205787,0.013100239118879479,2000,0,2000,31415
1,II,sensitivity_af,0.0,-0.02210251688152246,0.02234950725001565,2000,0,2000,31415
1,II,sens95_af,-0.005555555555555536,-0.016579215407883024,0.019902985074626872,2000,0,2000,31415
1,II,auroc_ischemia,-0.019030774672798012,-0.035196524947996646,-0.003710931211565161,2000,0,2000,31415
1,II,f1_ischemia,-0.014140346240253732,-0.06431027472751473,0.03126279009775486,2000,0,2000,31415
1,II,sensitivity_ischemia,0.0,-0.060975609756097504,0.05960958876948084,2000,0,2000,31415
1,II,sens95_ischemia,0.0,-0.08484848484848484,0.09204535495179658,2000,0,2000,31415
1,II,auroc_conduction,-0.013552625969313614,-0.022103451533322296,-0.005681932998753867,2000,0,2000,31415
1,II,f1_conduction,-0.02273678021866199,-0.04441705479531737,-0.001150650872013103,2000,0,2000,31415
1,II,sensitivity_conduction,-0.03430079155672827,-0.06614229024943313,-0.0026031650641026413,2000,0,2000,31415
1,II,sens95_conduction,-0.0316622691292876,-0.05805133252362808,0.026320545339251687,2000,0,2000,31415
1,II,auroc_ectopy,-0.010267321642771443,-0.041861483111609164,0.019739946774292097,2000,0,2000,31415
1,II,f1_ectopy,-0.0050798258345428615,-0.10436559487379317,0.09010806300342043,2000,0,2000,31415
1,II,sensitivity_ectopy,-0.012195121951219523,-0.1267661524703778,0.09999999999999998,2000,0,2000,31415
1,II,sens95_ectopy,0.0,-0.1851984126984127,0.1527777777777778,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,macro_f1,0.006886760527510916,-0.012559991206686688,0.025275574915699813,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,macro_sensitivity,0.008489090762081375,-0.010858556981601125,0.027267562577060558,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_af,0.0011022927689593454,-0.0024047529752097923,0.004803317696276311,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_af,-0.0025054076344905862,-0.011783466934017944,0.005742864344127052,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_af,0.0,0.0,0.0,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_af,-0.011111111111111072,-0.028575533661740565,0.0059889257629319025,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_ischemia,-0.004189757497150337,-0.012927020275553355,0.00353552940334621,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_ischemia,0.024026481199092453,-0.009281879042010013,0.05939253155782904,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_ischemia,0.048484848484848575,0.006021422969986418,0.09357613647378109,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_ischemia,-0.0060606060606061,-0.043749999999999956,0.08642142142142147,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_conduction,-0.001070567448117954,-0.004324960052773269,0.0020922411136859134,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_conduction,-0.001077941132436977,-0.014655079446828017,0.013118088728851968,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_conduction,-0.0079155672823219,-0.026250181787962547,0.010696624690932124,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_conduction,-0.0158311345646438,-0.03368094340892269,0.02122441453070259,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,auroc_ectopy,0.0014422802307648697,-0.006622393904116608,0.01067375801271319,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,f1_ectopy,-0.010623831378548387,-0.07427908745843527,0.047954248816317754,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sensitivity_ectopy,-0.03658536585365857,-0.10527863777089785,0.029862053369516025,2000,0,2000,31415
1;3;4;5;7,II;aVR;aVL;aVF;V2,sens95_ectopy,0.02439024390243899,-0.06097560975609756,0.11904761904761901,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,macro_f1,0.010064567159471016,-0.00824835506528958,0.027450225914057345,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,macro_sensitivity,0.011097743237520552,-0.006868210832751842,0.02868143731210894,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,auroc_af,0.0004372427983536653,-0.003454263962859716,0.004715597006061269,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,f1_af,-0.0025054076344905862,-0.013257897612811823,0.009163308156739873,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sensitivity_af,0.0,0.0,0.0,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sens95_af,-0.011111111111111072,-0.028575533661740565,0.005918040293040317,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,auroc_ischemia,-0.004425578744644887,-0.012235996475619576,0.002498203504300255,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,f1_ischemia,0.024428116951976886,-0.006289719205690869,0.054090015892999756,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sensitivity_ischemia,0.036363636363636376,-0.00606341189674516,0.07558375235700807,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sens95_ischemia,0.018181818181818188,-0.044588656015372014,0.08805031446540879,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,auroc_conduction,0.00046422836245807453,-0.0027594877998197488,0.003498901789057125,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,f1_conduction,0.0008312304073775367,-0.011308844593773326,0.013514976832710293,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sensitivity_conduction,-0.0026385224274406704,-0.01886919938806731,0.013194361820510552,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sens95_conduction,0.0026385224274406704,-0.013666894353369778,0.03579985141061293,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,auroc_ectopy,0.0031558805049408667,-0.004922102792210137,0.012220142577511802,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,f1_ectopy,0.0028896821349651547,-0.0561198075520726,0.058105678837886,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sensitivity_ectopy,-0.024390243902439046,-0.0900227272727273,0.03751186708860756,2000,0,2000,31415
1;3;6;7,II;aVR;V1;V2,sens95_ectopy,0.0,-0.07894736842105265,0.10228001165501158,2000,0,2000,31415
6;7,V1;V2,macro_f1,0.00815704648437443,-0.018667076370313597,0.03423093069069384,2000,0,2000,31415
6;7,V1;V2,macro_sensitivity,0.005596970762039355,-0.021225170998910862,0.031825846942644676,2000,0,2000,31415
6;7,V1;V2,auroc_af,-0.005386537330982044,-0.013839637038057826,0.0019993037676086425,2000,0,2000,31415
6;7,V1;V2,f1_af,0.007600912739003873,-0.008140094571433934,0.0240474572121178,2000,0,2000,31415
6;7,V1;V2,sensitivity_af,0.0,-0.01675977653631278,0.016393442622950838,2000,0,2000,31415
6;7,V1;V2,sens95_af,0.0,-0.016131211857018293,0.022102516881522337,2000,0,2000,31415
6;7,V1;V2,auroc_ischemia,-0.038949809377824995,-0.055470159153948324,-0.02266650984340392,2000,0,2000,31415
6;7,V1;V2,f1_ischemia,-0.04039245163587457,-0.09124203980166021,0.005844591666447247,2000,0,2000,31415
