model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256,prediction_path,stage1_run_id,origin,measurement_contacts,contact_names,contacts_with_extra_drl
P1_a07,8,0;2;4;5;6;9;10;11,I;III;aVL;aVF;V1;V4;V5;V6,936,0.9151327889354816,0.6927536231884058,0.7876230661040787,0.6819615282296847,0.6899735872739283,binary;multiclass,0.9301966024050391,0.6266666666666667,0.7230769230769231,0.5538461538461539,0.9641534391534392,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9110325040286129,0.6666666666666666,0.6666666666666666,0.5636363636363636,0.9562393713021605,0.8708791208791209,0.8364116094986808,0.8073878627968337,0.8607842577254813,0.34615384615384615,0.32926829268292684,0.3048780487804878,6.682679300000018,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b209275059cf52fd41aa39b92035fc17989cd7782f993d6e842816f202e38c61,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-6-9-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V4;V5;V6,8
P1_a07,8,0;2;4;5;7;8;9;10,I;III;aVL;aVF;V2;V3;V4;V5,936,0.9131219500232963,0.6898550724637681,0.7876230661040787,0.6860381236170028,0.6925579676631868,binary;multiclass,0.9309314754724185,0.6204620462046204,0.7230769230769231,0.5923076923076923,0.9645502645502646,0.896358543417367,0.8888888888888888,0.9055555555555556,0.9079746885194355,0.6521739130434783,0.6363636363636364,0.5878787878787879,0.9544771983344622,0.8637602179836512,0.8364116094986808,0.8021108179419525,0.8634117781458844,0.3974358974358974,0.3780487804878049,0.32926829268292684,6.67104350000227,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,25b69de7a1b250c747c2e4100ad9019dc257a0ec8b2be5944136d19b08e4eef1,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-7-8-9-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V3;V4;V5,8
P1_a07,8,0;2;4;5;7;8;9;11,I;III;aVL;aVF;V2;V3;V4;V6,936,0.9125383162902474,0.6695652173913044,0.7875354107648725,0.690613699360277,0.6977010567640595,binary;multiclass,0.9323821339950371,0.6360655737704918,0.7461538461538462,0.5692307692307692,0.9655055849500294,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9070235428212082,0.6542056074766355,0.6363636363636364,0.5818181818181818,0.9545908869130235,0.8664850136239782,0.8390501319261213,0.7889182058047494,0.8652681784429086,0.3974358974358974,0.3780487804878049,0.32926829268292684,6.651095400000486,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6040fed6625bcc2690e8e755b871aeef1e21131e1ec9c59207b02325f740ac1c,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-7-8-9-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V3;V4;V6,8
P1_a07,8,0;2;4;5;7;8;10;11,I;III;aVL;aVF;V2;V3;V5;V6,936,0.9137938644890753,0.6898550724637681,0.7909604519774012,0.6882677908184257,0.6946241336871364,binary;multiclass,0.932945218553159,0.6229508196721312,0.7307692307692307,0.5846153846153846,0.9663212815990593,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9084148881814251,0.6542056074766355,0.6363636363636364,0.5696969696969697,0.9544866723826758,0.8653061224489796,0.8390501319261213,0.7915567282321899,0.8663677386188381,0.4,0.3780487804878049,0.36585365853658536,6.672951799999282,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,3d9b6ffbc547da93619798ed6e00925948a64e5b0b8bf28fb3ab0f369f1d7048,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-7-8-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V3;V5;V6,8
P1_a07,8,0;2;4;5;7;9;10;11,I;III;aVL;aVF;V2;V4;V5;V6,936,0.9145099193212194,0.6898550724637681,0.7859154929577464,0.6868464379337633,0.6942921954949756,binary;multiclass,0.9324298530253865,0.6274509803921569,0.7384615384615385,0.5692307692307692,0.9639182833627278,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9091537947569076,0.6645962732919255,0.6484848484848484,0.5515151515151515,0.9540082329478975,0.8661202185792349,0.8364116094986808,0.7941952506596306,0.8624550179928029,0.37662337662337664,0.35365853658536583,0.3780487804878049,6.646082400002342,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,4dc0ab9ac53a3d36d71c4c715ddd9936d87dfc4aba7cfbaa7b7f114a80837fcc,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-7-9-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V4;V5;V6,8
P1_a07,8,0;2;4;5;8;9;10;11,I;III;aVL;aVF;V3;V4;V5;V6,936,0.9130532872311728,0.6898550724637681,0.7848101265822784,0.6914669680857063,0.6982771454114526,binary;multiclass,0.9300248138957816,0.6266666666666667,0.7230769230769231,0.5769230769230769,0.964182833627278,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9077624493966907,0.6625386996904025,0.6484848484848484,0.5757575757575758,0.9530181949095938,0.8567530695770805,0.8284960422163589,0.7941952506596306,0.864154338264694,0.4125,0.4024390243902439,0.35365853658536583,6.656608299999789,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,ad628d87c39bc42e2c2fac30ff043affcd772bb946d7587cf3bf6cb24638342f,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-2-4-5-8-9-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V3;V4;V5;V6,8
P1_a07,8,0;3;4;5;6;7;8;9,I;aVR;aVL;aVF;V1;V2;V3;V4,936,0.9142990264596974,0.6811594202898551,0.7914893617021277,0.6908293285104976,0.6974602885298554,binary;multiclass,0.9310746325634662,0.6270627062706271,0.7307692307692307,0.5538461538461539,0.9661375661375662,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9081083205596825,0.675,0.6545454545454545,0.6,0.956646755375338,0.8680272108843538,0.841688654353562,0.8258575197889182,0.8642685782829725,0.38461538461538464,0.36585365853658536,0.34146341463414637,6.694781899997906,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6432ba4401730dc863bf3b5eca702bd8c765d6c86aa5c9f0491fb6ff4cf2d8bc,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-3-4-5-6-7-8-9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V3;V4,8
P1_a07,8,0;3;4;5;6;7;8;10,I;aVR;aVL;aVF;V1;V2;V3;V5,936,0.9150494126879031,0.6840579710144927,0.7926657263751763,0.6925483735645446,0.6987170616599795,binary;multiclass,0.9305878984539033,0.6287625418060201,0.7230769230769231,0.5461538461538461,0.9673206937095826,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9088550878434146,0.6749226006191951,0.6606060606060606,0.593939393939394,0.9573383608949186,0.875,0.8496042216358839,0.8232189973614775,0.8642114582738334,0.38461538461538464,0.36585365853658536,0.35365853658536583,6.668331099997886,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,5156a0101f0a46ceefead1f742fdd57738aeb7d86ef3e859b644bf0a3c93787a,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-3-4-5-6-7-8-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V3;V5,8
P1_a07,8,0;3;4;5;6;7;8;11,I;aVR;aVL;aVF;V1;V2;V3;V6,936,0.9150297947472964,0.6840579710144927,0.7966339410939691,0.690001801008044,0.697602218804999,binary;multiclass,0.9325730101164343,0.6312292358803987,0.7307692307692307,0.5538461538461539,0.967746913580247,0.9019607843137255,0.8944444444444445,0.9111111111111111,0.9072750854852023,0.6788990825688074,0.6727272727272727,0.593939393939394,0.9570730875449424,0.8684931506849315,0.8364116094986808,0.8126649076517151,0.8661678185868509,0.36942675159235666,0.35365853658536583,0.3048780487804878,6.613169699998252,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6517edba6d08291bb2317ccf059856b7d6b5c9d88a3cbcd358070ad6f0cc675a,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-3-4-5-6-7-8-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V3;V6,8
P1_a07,8,0;3;4;5;6;7;9;10,I;aVR;aVL;aVF;V1;V2;V4;V5,936,0.914946418499718,0.7072463768115942,0.7847025495750708,0.6887764588061761,0.6955489686250996,binary;multiclass,0.9292517656041228,0.6270627062706271,0.7307692307692307,0.5461538461538461,0.96549088771311,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9092795660889046,0.6687306501547987,0.6545454545454545,0.6,0.9565993851342709,0.8719346049046321,0.8443271767810027,0.8179419525065963,0.8611555377848861,0.3741935483870968,0.35365853658536583,0.3170731707317073,6.602401299998746,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,357cfc4ed1f469af8318b9ff6f963cf7ceb61daf3a814193afaa95532343929c,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-3-4-5-6-7-9-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V4;V5,8
P1_a07,8,0;3;4;5;6;7;9;11,I;aVR;aVL;aVF;V1;V2;V4;V6,936,0.9144020206478826,0.7014492753623188,0.7865168539325843,0.6925318102663132,0.7003675835215831,binary;multiclass,0.9322294330979194,0.64,0.7384615384615385,0.5384615384615384,0.9655717225161669,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9085799630546713,0.6748466257668712,0.6666666666666666,0.5878787878787879,0.9567841290744328,0.8684931506849315,0.8364116094986808,0.820580474934037,0.8638830182212828,0.37735849056603776,0.36585365853658536,0.35365853658536583,6.61645370000042,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,3c1e6b90b6cdfcb6a2cca95d69355d2157a99bf70568ecd4309c85ec0f0b3024,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-3-4-5-6-7-9-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V1;V2;V4;V6,8
