model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256,prediction_path,stage1_run_id,origin,measurement_contacts,contact_names,contacts_with_extra_drl,worst_disease_sens95,mean_disease_sens95,complete_available_leads
P1_a07,9,0;1;2;3;4;5;7;8;10,I;II;III;aVR;aVL;aVF;V2;V3;V5,936,0.9155790970842835,0.6753623188405797,0.7926657263751763,0.6916180080482783,0.698417209564645,binary;multiclass,0.9298053063561749,0.6354515050167224,0.7307692307692307,0.5769230769230769,0.9675264550264551,0.896358543417367,0.8888888888888888,0.9055555555555556,0.9099634477066384,0.6728395061728395,0.6606060606060606,0.593939393939394,0.9558935685423704,0.8610354223433242,0.8337730870712401,0.7968337730870713,0.8642542982806877,0.3924050632911392,0.3780487804878049,0.32926829268292684,6.459708399997908,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,4e8beb2c8cc2321e87728adf936be3571898b0cc96cc4516d875dd9aecc446a1,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-8-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,6,LA;LL;RA;V2;V3;V5,7,0.32926829268292684,0.6563992538162369,1
P1_a07,10,0;1;2;3;4;5;7;8;10;11,I;II;III;aVR;aVL;aVF;V2;V3;V5;V6,936,0.9145687731430393,0.6753623188405797,0.7915492957746478,0.6892223828957279,0.6959781851744011,binary;multiclass,0.9320958198129414,0.6333333333333333,0.7307692307692307,0.5692307692307692,0.9675558495002939,0.896358543417367,0.8888888888888888,0.9111111111111111,0.9085327988051723,0.6707692307692308,0.6606060606060606,0.593939393939394,0.9550645893236951,0.8610354223433242,0.8337730870712401,0.7994722955145118,0.8643970983035357,0.38461538461538464,0.36585365853658536,0.32926829268292684,6.386925999999221,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,d6cbf1b976b94e405e3e558dea9b420133cbe2c7a91d3d95bc0fc34008f6fd0c,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-8-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V3;V5;V6,8,0.32926829268292684,0.6584477733119859,1
P1_a07,9,0;1;2;3;4;5;7;8;11,I;II;III;aVR;aVL;aVF;V2;V3;V6,936,0.9149268005591114,0.6608695652173913,0.791023842917251,0.6859144805193658,0.6925284037311839,binary;multiclass,0.9317426989883566,0.618421052631579,0.7230769230769231,0.5692307692307692,0.9683348030570254,0.896358543417367,0.8888888888888888,0.9055555555555556,0.9075109067326966,0.6707692307692308,0.6606060606060606,0.6,0.9556898765057815,0.8649386084583902,0.8364116094986808,0.8021108179419525,0.8661392585822814,0.3790849673202614,0.35365853658536583,0.3048780487804878,6.460598500001652,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b47d96d01584eb84b6c59ad4e3fa21797ad528b173dbb4efc7c4bb273d18a573,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-8-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,6,LA;LL;RA;V2;V3;V6,7,0.3048780487804878,0.6531361055694989,1
P1_a07,8,0;1;2;3;4;5;7;9,I;II;III;aVR;aVL;aVF;V2;V4,936,0.9158782706785356,0.6927536231884058,0.7905027932960894,0.6864212639000055,0.6926139758233201,binary;multiclass,0.9291372399312846,0.6262626262626263,0.7153846153846154,0.5692307692307692,0.9650352733686067,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9099948905396378,0.6809815950920245,0.6727272727272727,0.6,0.9560025200968247,0.8641304347826086,0.8390501319261213,0.8126649076517151,0.8593848175015708,0.36129032258064514,0.34146341463414637,0.34146341463414637,6.384913599998981,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6d11b41b796f93c2096e022dd7baa00071e8df940f1ecae2a2c4418b54e0a195,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-9.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,5,LA;LL;RA;V2;V4,6,0.34146341463414637,0.6649209694603542,1
P1_a07,9,0;1;2;3;4;5;7;9;10,I;II;III;aVR;aVL;aVF;V2;V4;V5,936,0.9153976311336719,0.7014492753623188,0.7821229050279329,0.684494466777535,0.6906875679325644,binary;multiclass,0.9292803970223324,0.6287625418060201,0.7230769230769231,0.5538461538461539,0.9652116402116402,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9096254372518964,0.6645962732919255,0.6484848484848484,0.593939393939394,0.9553677588665248,0.8575305291723202,0.8337730870712401,0.8021108179419525,0.8600559776089564,0.3670886075949367,0.35365853658536583,0.3048780487804878,6.385935599999357,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,c0f817fcb6908b616a01de11f161dd3888612aa22ceb7d95cb9064e69e302959,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-9-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,6,LA;LL;RA;V2;V4;V5,7,0.3048780487804878,0.6516209540543474,1
P1_a07,10,0;1;2;3;4;5;7;9;10;11,I;II;III;aVR;aVL;aVF;V2;V4;V5;V6,936,0.9148679467372912,0.6869565217391305,0.7870239774330042,0.6848951450452312,0.6916983249855377,binary;multiclass,0.931714067570147,0.6354515050167224,0.7307692307692307,0.5769230769230769,0.9654541446208112,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9097905121251424,0.6604938271604939,0.6484848484848484,0.5818181818181818,0.9549224786004937,0.8571428571428571,0.8311345646437994,0.7994722955145118,0.8607842577254813,0.36942675159235666,0.35365853658536583,0.34146341463414637,6.38594269999885,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,8e165d003351523717417a5e3824b395f6e64f1af26da4e706648bf442357f57,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-9-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,7,LA;LL;RA;V2;V4;V5;V6,8,0.34146341463414637,0.6570773618805988,1
P1_a07,9,0;1;2;3;4;5;7;9;11,I;II;III;aVR;aVL;aVF;V2;V4;V6,936,0.9146227224797078,0.6927536231884058,0.7844228094575799,0.68281354778859,0.6890339703699636,binary;multiclass,0.9311987020423745,0.6287625418060201,0.7230769230769231,0.5923076923076923,0.9663433274544385,0.896358543417367,0.8888888888888888,0.9111111111111111,0.9088079235939158,0.6728395061728395,0.6606060606060606,0.5818181818181818,0.9556046100718607,0.8548168249660787,0.8311345646437994,0.8021108179419525,0.8635831381733021,0.36129032258064514,0.34146341463414637,0.3048780487804878,6.385905300001468,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,f7bc5b661569ca7a4bdf8112b560d2b2e01089686a7089baa3c45a96429deb15,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-9-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,6,LA;LL;RA;V2;V4;V6,7,0.3048780487804878,0.6499795399129333,1
P1_a07,8,0;1;2;3;4;5;7;10,I;II;III;aVR;aVL;aVF;V2;V5,936,0.9161382083915741,0.6753623188405797,0.7832167832167832,0.6930750518737046,0.7004239417045903,binary;multiclass,0.9314754724184005,0.6466666666666666,0.7461538461538462,0.5923076923076923,0.9664682539682539,0.896358543417367,0.8888888888888888,0.9055555555555556,0.9090280234249106,0.6809815950920245,0.6727272727272727,0.593939393939394,0.9557088246022085,0.8567530695770805,0.8284960422163589,0.8021108179419525,0.8640400982464158,0.38461538461538464,0.36585365853658536,0.35365853658536583,6.379328600000008,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,5b1475a770e3855cc35186f72dc82805b295cddc210ff7b89fab62ede4040a44,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-10.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,5,LA;LL;RA;V2;V5,6,0.35365853658536583,0.6638160760055669,1
P1_a07,9,0;1;2;3;4;5;7;10;11,I;II;III;aVR;aVL;aVF;V2;V5;V6,936,0.9151082665097231,0.6811594202898551,0.791023842917251,0.6967590428736574,0.7044162095992973,binary;multiclass,0.9326493605649933,0.6511627906976745,0.7538461538461538,0.5769230769230769,0.9665564373897708,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9074480210666983,0.6707692307692308,0.6606060606060606,0.593939393939394,0.9554009180352718,0.8579234972677595,0.8284960422163589,0.7941952506596306,0.8642257382761181,0.4050632911392405,0.3902439024390244,0.3780487804878049,6.394065799999225,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,161dd73fb1050479dcb1a153d2439070f3770a33a46ffbad03cb59b77f7c63b4,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-10-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,6,LA;LL;RA;V2;V5;V6,7,0.3780487804878049,0.6679347451605963,1
P1_a07,8,0;1;2;3;4;5;7;11,I;II;III;aVR;aVL;aVF;V2;V6,936,0.9162166801540008,0.6927536231884058,0.791023842917251,0.6873871060057211,0.6963552858179282,binary;multiclass,0.9338709677419356,0.6449511400651465,0.7615384615384615,0.6153846153846154,0.9683127572016461,0.896358543417367,0.8888888888888888,0.9111111111111111,0.9065204574932203,0.6748466257668712,0.6666666666666666,0.6060606060606061,0.9559456758075442,0.8571428571428571,0.8232189973614775,0.8021108179419525,0.8658393785343006,0.36363636363636365,0.34146341463414637,0.3048780487804878,6.382505599998694,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,961cc0b564a6a309fdfa15af4ae6252fc05c22d7e924fc5c1c4bd569b496ce07,outputs/electrode_coverage_v1/9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7/predictions/0-1-2-3-4-5-7-11.npz,9dd890a3b933b877aaad4b8cfef1d5c589c46d48e39edb8f936cc75617d345c7,new_inference,5,LA;LL;RA;V2;V6,6,0.3048780487804878,0.6560401459735393,1
