lead_indices,lead_names,metric,n,mean,std,min,max,paired_mean_delta_vs12,fraction_strictly_better_vs12
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,f1_ischemia,10,0.6703547321769412,0.0057536842889222084,0.662613981762918,0.6829268292682927,-0.001230057888384839,0.4
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sensitivity_ischemia,10,0.6587878787878788,0.009917525421118052,0.6424242424242425,0.6787878787878788,0.000606060606060621,0.5
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sens95_ischemia,10,0.6048484848484847,0.010221503548018995,0.593939393939394,0.6242424242424243,0.007878787878787874,0.5
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,auroc_conduction,10,0.9502494043192187,0.0005785518625542332,0.9491812053831542,0.9511139112186943,-0.006876737895719132,0.0
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,f1_conduction,10,0.8486615305712248,0.004682533413641175,0.8406593406593407,0.8543956043956044,-0.021128977354624313,0.0
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sensitivity_conduction,10,0.8153034300791557,0.006342218602399279,0.8047493403693932,0.8232189973614775,-0.027176781002638505,0.0
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sens95_conduction,10,0.7920844327176781,0.005247646047555436,0.783641160949868,0.7994722955145118,-0.03113456464379949,0.0
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,auroc_ectopy,10,0.8677457588393214,0.0027803966734611264,0.8618552578968411,0.8713371794139486,0.005434968869594969,1.0
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,f1_ectopy,10,0.40049000071244045,0.02192676202789456,0.36809815950920244,0.44171779141104295,0.01703560348149959,0.8
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sensitivity_ectopy,10,0.39390243902439026,0.02230222231600846,0.36585365853658536,0.43902439024390244,0.029268292682926834,0.8
0;2;3;4;5;10,I;III;aVR;aVL;aVF;V5,sens95_ectopy,10,0.35365853658536583,0.025058593508003966,0.3048780487804878,0.3902439024390244,0.03536585365853659,0.8
0;2;3;5,I;III;aVR;aVF,macro_f1,10,0.691758808487754,0.0054748584352645275,0.6842708490580792,0.7028680644302753,0.0016643230419305266,0.5
0;2;3;5,I;III;aVR;aVF,macro_sensitivity,10,0.6990256551765658,0.005381783520933711,0.691040702509909,0.7092083362647749,0.002462146551277122,0.7
0;2;3;5,I;III;aVR;aVF,auroc_af,10,0.965545267489712,0.0007423050445847098,0.9644988242210464,0.9666813639035862,-0.0015277777777777835,0.1
0;2;3;5,I;III;aVR;aVF,f1_af,10,0.8831962167809783,0.002914249454619908,0.8784530386740331,0.8870523415977961,-0.01927694874535397,0.0
0;2;3;5,I;III;aVR;aVF,sensitivity_af,10,0.8905555555555555,0.0037497142095031097,0.8833333333333333,0.8944444444444445,-0.0038888888888889417,0.0
