stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,aVR;aVF,3;5,905aa00f6637e17bb7d2ad658f32599819d5238b4429244d7b6256727dc2eb72,936,717,219,0.7660256410256411
seed42,42,aVR;V1,3;6,b646c6cf43763c29b39f27e204b5b3c17d7cb2291d0080c13f4ab392d9dd4908,936,720,216,0.7692307692307693
seed42,42,aVR;V2,3;7,9c88ec2800154724ce8fce24941814b1fc5637d052c31375aea2a0437070c5a3,936,715,221,0.7638888888888888
seed42,42,aVR;V3,3;8,431c645f8a884e03edfb63f04ba5bfcfccc8bd3cfc4d20b178fc38a57300fa39,936,710,226,0.7585470085470085
seed42,42,aVR;V4,3;9,6330bf6446ea1b629a9d8682b86754f6d7e77bccc43e5109408486039964de7b,936,700,236,0.7478632478632479
seed42,42,aVR;V5,3;10,dfe174bbf1429dfc0d060c245af47d36188dec84608e0c338577b2d1278bc53c,936,698,238,0.7457264957264957
seed42,42,aVR;V6,3;11,8dae3adcdde99e47c169e534fb094aaeea1a71b0d9c7ade07501e501ba6f9800,936,704,232,0.7521367521367521
seed42,42,aVL;aVF,4;5,d2b9db02cfdfbca816e398b1aa7d64a02b51fdec0a25289274ed49d6d82f96aa,936,704,232,0.7521367521367521
seed42,42,aVL;V1,4;6,93727f407514f51dc340d5a50dc2e05e14e91d0e2942205994d67d9bc6ab0ac1,936,696,240,0.7435897435897436
seed42,42,aVL;V2,4;7,68643e3ff3ea46d302b6b156031f308d9c2c3bf3792586cef7bb6155f6a274b4,936,695,241,0.7425213675213675
seed42,42,aVL;V3,4;8,c0837df9578746f109f8d819026521573290c0e8f72e5345cdec8a739e5be202,936,689,247,0.7361111111111112
seed42,42,aVL;V4,4;9,f42852c29e5ada1b5aa40174ffa0eabf8b0799b76adb86fead9b8cb6a54046a3,936,696,240,0.7435897435897436
seed42,42,aVL;V5,4;10,dd896d210703c548e989b627f4dab53ab6d322ea87bf331a7558ef7acafc4156,936,702,234,0.75
seed42,42,aVL;V6,4;11,18fe6407b1206c8a66ae38db6e9567d1979eaa988c43510ef2f144a7fb6b8be0,936,704,232,0.7521367521367521
seed42,42,aVF;V1,5;6,ab6c66b89db571d4d19fdab4275a533ddd47b028533604a829d587da7dcb096f,936,702,234,0.75
