lead_names,measurement_contacts,extra_drl_contacts_scenario,n_samples,macro_f1,macro_sensitivity,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,9,10,936,0.6942429303251032,0.701126216098222,0.9669753086419753,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9087450379279173,0.6645962732919255,0.6484848484848484,0.5878787878787879,0.9573715200636657,0.8692098092643051,0.841688654353562,0.8258575197889182,0.8629405380704861,0.4025157232704403,0.3902439024390244,0.34146341463414637,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751
II,2,3,936,0.6892795238273285,0.6995193410889402,0.9657995296884185,0.8919667590027701,0.8944444444444445,0.9055555555555556,0.8897142632551194,0.6504559270516718,0.6484848484848484,0.5878787878787879,0.943818894094352,0.8464730290456431,0.8073878627968337,0.7941952506596306,0.8526732164277147,0.3974358974358974,0.3780487804878049,0.34146341463414637,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d
I;aVR,3,4,936,0.7024198136046111,0.7094814966158038,0.9659171075837742,0.88268156424581,0.8777777777777778,0.9,0.9009472153441025,0.6953846153846154,0.6848484848484848,0.6363636363636364,0.9507538973865837,0.8579234972677595,0.8284960422163589,0.8100263852242744,0.8732649797223968,0.43137254901960786,0.4024390243902439,0.3902439024390244,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,72b3c3b627ed2a603a40f32c5abfa07f436dcd76de59646a87256c33c9a616ff
II;aVR;V1;V2,5,6,936,0.7043074974845742,0.7122239593357426,0.9674125514403291,0.8969359331476323,0.8944444444444445,0.9,0.9043194591832724,0.6890243902439024,0.6848484848484848,0.6060606060606061,0.9578357484261238,0.8700410396716827,0.8390501319261213,0.8284960422163589,0.866096418575427,0.40540540540540543,0.36585365853658536,0.34146341463414637,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,f7a2af1c2ba4c48a698ad6fefa0a820f52bcc85619ac1a3849404e5beb221629
