model,leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10000,0.9150935530542681,0.6956521739130435,0.7921348314606742,0.6852578753595073,0.6921158352698349,binary;multiclass,0.9304256537507158,0.62,0.7153846153846154,0.5230769230769231,0.9680114638447972,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9065125967849702,0.6584615384615384,0.6484848484848484,0.6121212121212121,0.9575325788832939,0.8661202185792349,0.8364116094986808,0.8284960422163589,0.8610270177643229,0.379746835443038,0.36585365853658536,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10001,0.9149169915888079,0.7072463768115942,0.7887323943661971,0.6902069200400576,0.6968076078771748,binary;multiclass,0.9299961824775721,0.6138613861386139,0.7153846153846154,0.5461538461538461,0.9667695473251029,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9077388672719412,0.6790123456790124,0.6666666666666666,0.6060606060606061,0.9575657380520409,0.8715846994535519,0.841688654353562,0.8232189973614775,0.8634546181527388,0.38461538461538464,0.36585365853658536,0.34146341463414637
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10002,0.9142990264596973,0.6927536231884058,0.7960618846694796,0.6869393971596491,0.6943239315689279,binary;multiclass,0.9299770948654325,0.6204620462046204,0.7230769230769231,0.5230769230769231,0.9667181069958849,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9070078214047085,0.6748466257668712,0.6666666666666666,0.5818181818181818,0.95714887993065,0.8657534246575342,0.8337730870712401,0.820580474934037,0.860727137716342,0.3741935483870968,0.35365853658536583,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10003,0.9158292258270189,0.7101449275362319,0.7955182072829131,0.6871982660604279,0.693372608399959,binary;multiclass,0.9304256537507158,0.6133333333333333,0.7076923076923077,0.5384615384615384,0.9673794826572604,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9080611563101836,0.6666666666666666,0.6545454545454545,0.6060606060606061,0.9569878211110217,0.8719346049046321,0.8443271767810027,0.8284960422163589,0.8639972582395613,0.38461538461538464,0.36585365853658536,0.2926829268292683
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10004,0.9152406876088184,0.7014492753623188,0.788218793828892,0.6935432337156949,0.7005837296467324,binary;multiclass,0.9303588471082267,0.6312292358803987,0.7307692307692307,0.5307692307692308,0.966277189888301,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9068270251149629,0.6707692307692308,0.6606060606060606,0.5878787878787879,0.957281516605638,0.8688524590163934,0.8390501319261213,0.8153034300791556,0.8583852173416348,0.39490445859872614,0.3780487804878049,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10005,0.9149218960739596,0.6985507246376812,0.7932011331444759,0.6948569297310916,0.7006748996046891,binary;multiclass,0.9309887383088377,0.6195286195286195,0.7076923076923077,0.5769230769230769,0.966960611405056,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9053649333804976,0.676923076923077,0.6666666666666666,0.6060606060606061,0.957565738052041,0.8707482993197279,0.8443271767810027,0.8232189973614775,0.8613982978237276,0.40764331210191085,0.3902439024390244,0.34146341463414637
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10006,0.914632531450011,0.6985507246376812,0.7983074753173484,0.7037363312433171,0.7108527497271947,binary;multiclass,0.9315518228669593,0.6333333333333333,0.7307692307692307,0.5615384615384615,0.9668650793650794,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9066698109499666,0.683076923076923,0.6727272727272727,0.5818181818181818,0.9571157207619029,0.8727770177838577,0.841688654353562,0.8337730870712401,0.8644113783058205,0.425,0.4146341463414634,0.34146341463414637
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10007,0.915662473331862,0.6956521739130435,0.7905027932960894,0.6903270053422554,0.697133948203515,binary;multiclass,0.931303683909143,0.6287625418060201,0.7230769230769231,0.5461538461538461,0.9675999412110524,0.9019607843137255,0.8944444444444445,0.9111111111111111,0.9071335927367057,0.6707692307692308,0.6606060606060606,0.6060606060606061,0.957362046015452,0.8703956343792633,0.841688654353562,0.8179419525065963,0.8608270977323356,0.379746835443038,0.36585365853658536,0.2926829268292683
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10008,0.9144657789548543,0.6956521739130435,0.7932960893854749,0.7003747897102877,0.707216386090831,binary;multiclass,0.9312082458484443,0.6333333333333333,0.7307692307692307,0.5461538461538461,0.967475014697237,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9079118028534371,0.6646153846153846,0.6545454545454545,0.6060606060606061,0.9578641705707641,0.8715846994535519,0.841688654353562,0.8364116094986808,0.8620694579311132,0.43037974683544306,0.4146341463414634,0.32926829268292684
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10009,0.9147747615194095,0.6782608695652174,0.7909604519774012,0.6882366327579553,0.6950825641455669,binary;multiclass,0.9306356174842527,0.6158940397350994,0.7153846153846154,0.5384615384615384,0.9682025279247501,0.8969359331476323,0.8944444444444445,0.9111111111111111,0.9069763785717094,0.6645962732919255,0.6484848484848484,0.5878787878787879,0.9577220598475625,0.8688524590163934,0.8390501319261213,0.820580474934037,0.8625549780087964,0.39490445859872614,0.3780487804878049,0.34146341463414637
