category,leads,metric,difference_vs_12,ci_low,ci_high,valid,skipped
performance,II;aVR;V1;V2,macro_f1,0.010064567159471016,-0.008610816783671269,0.02783784067844329,2000,0
performance,II;aVR;V1;V2,macro_sensitivity,0.011097743237520552,-0.007607102884812369,0.02897843439233406,2000,0
performance,II;aVR;V1;V2,auroc_af,0.00043724279835377633,-0.0034952173334002108,0.0047030465949820495,2000,0
performance,II;aVR;V1;V2,sensitivity_af,0.0,0.0,0.0,2000,0
performance,II;aVR;V1;V2,sens95_af,-0.011111111111111072,-0.02717762532668093,0.01093046297964331,2000,0
performance,II;aVR;V1;V2,auroc_ischemia,-0.004425578744644887,-0.012354622618110808,0.00288651826987184,2000,0
performance,II;aVR;V1;V2,sensitivity_ischemia,0.036363636363636376,0.0,0.07784431137724546,2000,0
performance,II;aVR;V1;V2,sens95_ischemia,0.018181818181818188,-0.04169207317073178,0.08725461409395968,2000,0
performance,II;aVR;V1;V2,auroc_conduction,0.00046422836245818555,-0.0029360082997542227,0.0036830840457554677,2000,0
performance,II;aVR;V1;V2,sensitivity_conduction,-0.0026385224274406704,-0.018672972972972917,0.012725092973184622,2000,0
performance,II;aVR;V1;V2,sens95_conduction,0.0026385224274406704,-0.01329875886524826,0.03807296781421601,2000,0
performance,II;aVR;V1;V2,auroc_ectopy,0.0031558805049408667,-0.005683495787090767,0.011414096289126778,2000,0
performance,II;aVR;V1;V2,sensitivity_ectopy,-0.024390243902439046,-0.09333333333333332,0.04055442428730095,2000,0
performance,II;aVR;V1;V2,sens95_ectopy,0.0,-0.08453722334004024,0.10227272727272729,2000,0
minimum_electrodes,II,macro_f1,-0.004963406497774714,-0.03385078898683369,0.024576054468068726,2000,0
minimum_electrodes,II,macro_sensitivity,-0.0016068750092818052,-0.029729283491523782,0.02725958195726167,2000,0
minimum_electrodes,II,auroc_af,-0.0011757789535568053,-0.00723172259315708,0.0045157680804435415,2000,0
minimum_electrodes,II,sensitivity_af,0.0,-0.021055416318574167,0.02259887005649719,2000,0
minimum_electrodes,II,sens95_af,-0.005555555555555536,-0.016216216216216165,0.01807228915662651,2000,0
minimum_electrodes,II,auroc_ischemia,-0.0190307746727979,-0.03550057448095276,-0.003764285284513516,2000,0
minimum_electrodes,II,sensitivity_ischemia,0.0,-0.05682177790563872,0.06211180124223603,2000,0
minimum_electrodes,II,sens95_ischemia,0.0,-0.08785708176530961,0.0931677018633541,2000,0
minimum_electrodes,II,auroc_conduction,-0.013552625969313614,-0.022003733935715527,-0.005426854472665671,2000,0
minimum_electrodes,II,sensitivity_conduction,-0.03430079155672827,-0.06685290126905584,-0.002680965147453085,2000,0
minimum_electrodes,II,sens95_conduction,-0.0316622691292876,-0.05882714265067208,0.024528213612000967,2000,0
minimum_electrodes,II,auroc_ectopy,-0.010267321642771443,-0.04053075265175651,0.020081291263136302,2000,0
minimum_electrodes,II,sensitivity_ectopy,-0.012195121951219523,-0.12195121951219512,0.0959027892391483,2000,0
minimum_electrodes,II,sens95_ectopy,0.0,-0.18920629490249743,0.1571915584415581,2000,0
chest_included,II;aVR;V1;V2,macro_f1,0.010064567159471016,-0.008610816783671269,0.02783784067844329,2000,0
chest_included,II;aVR;V1;V2,macro_sensitivity,0.011097743237520552,-0.007607102884812369,0.02897843439233406,2000,0
chest_included,II;aVR;V1;V2,auroc_af,0.00043724279835377633,-0.0034952173334002108,0.0047030465949820495,2000,0
chest_included,II;aVR;V1;V2,sensitivity_af,0.0,0.0,0.0,2000,0
chest_included,II;aVR;V1;V2,sens95_af,-0.011111111111111072,-0.02717762532668093,0.01093046297964331,2000,0
chest_included,II;aVR;V1;V2,auroc_ischemia,-0.004425578744644887,-0.012354622618110808,0.00288651826987184,2000,0
chest_included,II;aVR;V1;V2,sensitivity_ischemia,0.036363636363636376,0.0,0.07784431137724546,2000,0
chest_included,II;aVR;V1;V2,sens95_ischemia,0.018181818181818188,-0.04169207317073178,0.08725461409395968,2000,0
chest_included,II;aVR;V1;V2,auroc_conduction,0.00046422836245818555,-0.0029360082997542227,0.0036830840457554677,2000,0
chest_included,II;aVR;V1;V2,sensitivity_conduction,-0.0026385224274406704,-0.018672972972972917,0.012725092973184622,2000,0
chest_included,II;aVR;V1;V2,sens95_conduction,0.0026385224274406704,-0.01329875886524826,0.03807296781421601,2000,0
chest_included,II;aVR;V1;V2,auroc_ectopy,0.0031558805049408667,-0.005683495787090767,0.011414096289126778,2000,0
chest_included,II;aVR;V1;V2,sensitivity_ectopy,-0.024390243902439046,-0.09333333333333332,0.04055442428730095,2000,0
chest_included,II;aVR;V1;V2,sens95_ectopy,0.0,-0.08453722334004024,0.10227272727272729,2000,0
limb_only,I;aVR,macro_f1,0.00817688327950794,-0.016087457364375654,0.03239126908903698,2000,0
limb_only,I;aVR,macro_sensitivity,0.008355280517581831,-0.01588605183965034,0.033191196135910414,2000,0
limb_only,I;aVR,auroc_af,-0.0010582010582010914,-0.006130030036762782,0.00480730104907001,2000,0
limb_only,I;aVR,sensitivity_af,-0.01666666666666672,-0.042110832637148446,0.005681818181818121,2000,0
limb_only,I;aVR,sens95_af,-0.011111111111111072,-0.028252600154083166,0.01052770815928713,2000,0
limb_only,I;aVR,auroc_ischemia,-0.007797822583814784,-0.020566755677209815,0.003358695818382367,2000,0
limb_only,I;aVR,sensitivity_ischemia,0.036363636363636376,-0.006135916079678935,0.08140449027351165,2000,0
limb_only,I;aVR,sens95_ischemia,0.048484848484848464,-0.018295488553045056,0.12431144067796603,2000,0
limb_only,I;aVR,auroc_conduction,-0.006617622677081991,-0.012080717196939797,-0.0016086144872029895,2000,0
limb_only,I;aVR,sensitivity_conduction,-0.01319261213720313,-0.03703949307397589,0.01030927835051543,2000,0
limb_only,I;aVR,sens95_conduction,-0.0158311345646438,-0.05208619505494509,0.024803805819848573,2000,0
limb_only,I;aVR,auroc_ectopy,0.01032444165191071,-0.00643211257962803,0.027906238861307525,2000,0
limb_only,I;aVR,sensitivity_ectopy,0.012195121951219523,-0.07608695652173914,0.10666666666666669,2000,0
limb_only,I;aVR,sens95_ectopy,0.04878048780487804,-0.07778138528138528,0.16279069767441856,2000,0
two_channels,I;aVR,macro_f1,0.00817688327950794,-0.016087457364375654,0.03239126908903698,2000,0
two_channels,I;aVR,macro_sensitivity,0.008355280517581831,-0.01588605183965034,0.033191196135910414,2000,0
two_channels,I;aVR,auroc_af,-0.0010582010582010914,-0.006130030036762782,0.00480730104907001,2000,0
two_channels,I;aVR,sensitivity_af,-0.01666666666666672,-0.042110832637148446,0.005681818181818121,2000,0
two_channels,I;aVR,sens95_af,-0.011111111111111072,-0.028252600154083166,0.01052770815928713,2000,0
two_channels,I;aVR,auroc_ischemia,-0.007797822583814784,-0.020566755677209815,0.003358695818382367,2000,0
two_channels,I;aVR,sensitivity_ischemia,0.036363636363636376,-0.006135916079678935,0.08140449027351165,2000,0
two_channels,I;aVR,sens95_ischemia,0.048484848484848464,-0.018295488553045056,0.12431144067796603,2000,0
two_channels,I;aVR,auroc_conduction,-0.006617622677081991,-0.012080717196939797,-0.0016086144872029895,2000,0
two_channels,I;aVR,sensitivity_conduction,-0.01319261213720313,-0.03703949307397589,0.01030927835051543,2000,0
two_channels,I;aVR,sens95_conduction,-0.0158311345646438,-0.05208619505494509,0.024803805819848573,2000,0
two_channels,I;aVR,auroc_ectopy,0.01032444165191071,-0.00643211257962803,0.027906238861307525,2000,0
two_channels,I;aVR,sensitivity_ectopy,0.012195121951219523,-0.07608695652173914,0.10666666666666669,2000,0
two_channels,I;aVR,sens95_ectopy,0.04878048780487804,-0.07778138528138528,0.16279069767441856,2000,0
