model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256
P1_a07,12,0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,936,0.9147453346084996,0.7043478260869566,0.7871148459383753,0.6942429303251032,0.701126216098222,binary;multiclass,0.9313418591334224,0.6354515050167224,0.7307692307692307,0.5538461538461539,0.9669753086419753,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9087450379279173,0.6645962732919255,0.6484848484848484,0.5878787878787879,0.9573715200636657,0.8692098092643051,0.841688654353562,0.8258575197889182,0.8629405380704861,0.4025157232704403,0.3902439024390244,0.34146341463414637,7.006167999999889,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b45e21c9f0fe6072767bfd9f55a4d70c48703c024a26b76ac88d0e7002c41751
P1_a07,4,0;1;7;10,I;II;V2;V5,936,0.9153534907673067,0.6985507246376812,0.7843137254901961,0.6974644526273895,0.7044143434773462,binary;multiclass,0.9317331551822867,0.6491803278688525,0.7615384615384615,0.6,0.9654982363315696,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9097590692921432,0.6687306501547987,0.6545454545454545,0.6121212121212121,0.954766156804972,0.8653061224489796,0.8390501319261213,0.8021108179419525,0.8611840977894556,0.40522875816993464,0.3780487804878049,0.36585365853658536,6.762923800000863,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,74f4960a345ab9fae8cf4b65a42f8dc46521e9e09138b4850bf82a45705b3669
P1_a07,2,0;1,I;II,936,0.9147159076975895,0.6956521739130435,0.7961165048543689,0.6890661877309945,0.6984236239838273,binary;multiclass,0.9292613094101928,0.6577181208053692,0.7538461538461538,0.5538461538461539,0.966549088771311,0.8791208791208791,0.8888888888888888,0.9,0.8999489053963762,0.6964285714285714,0.7090909090909091,0.6484848484848484,0.9517581464972075,0.8583218707015131,0.8232189973614775,0.8021108179419525,0.8731507397041184,0.35374149659863946,0.3170731707317073,0.3780487804878049,6.775544699999955,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,a83d498c9fefa5727e84f93e67006873670615573bfb48d79a9b6e5b7005b8cb
P1_a07,1,1,II,936,0.9112337232399028,0.6550724637681159,0.7867036011080333,0.6892795238273285,0.6995193410889402,binary;multiclass,0.931160526818095,0.6600660066006601,0.7692307692307693,0.6384615384615384,0.9657995296884185,0.8919667590027701,0.8944444444444445,0.9055555555555556,0.8897142632551194,0.6504559270516718,0.6484848484848484,0.5878787878787879,0.943818894094352,0.8464730290456431,0.8073878627968337,0.7941952506596306,0.8526732164277147,0.3974358974358974,0.3780487804878049,0.34146341463414637,6.799800000000687,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,a3283c83ebeea113ea1dc0eb94e4078e6f049c1638919bdcb8a8f18de798d57d
reference_iii,12,0;1;2;3;4;5;6;7;8;9;10;11,I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,474,0.9464799943811019,0.7818696883852692,0.9201741654571843,,,binary,,,,,,,,,,,,,,,,,,,,,3.4646553000002314,42,ecdb2816fbfecf3ce41ff2e3263e3bdaefd75a5bba81a8e030b7390f03e8d244,cb2cb2e442afa8d7158b02e4fe0114cf68696a9bf9f10f2a89c0ed63bc1301d2,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,78cbdf33f15c67bd89b6bf5e183894dc880d48a118415ff12799ed5381f52304
reference_iii,4,0;1;7;10,I;II;V2;V5,474,0.9489850865076206,0.7790368271954674,0.9141193595342066,,,binary,,,,,,,,,,,,,,,,,,,,,3.4860262000001967,42,ecdb2816fbfecf3ce41ff2e3263e3bdaefd75a5bba81a8e030b7390f03e8d244,cb2cb2e442afa8d7158b02e4fe0114cf68696a9bf9f10f2a89c0ed63bc1301d2,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,5ae981543c30680be0effdff5afc56f8a773eebd5f5d7337a7bb218de0aa4bcb
reference_iii,2,0;1,I;II,474,0.95090487673542,0.7507082152974505,0.9279538904899135,,,binary,,,,,,,,,,,,,,,,,,,,,3.424611200000072,42,ecdb2816fbfecf3ce41ff2e3263e3bdaefd75a5bba81a8e030b7390f03e8d244,cb2cb2e442afa8d7158b02e4fe0114cf68696a9bf9f10f2a89c0ed63bc1301d2,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6cb154912156768180dd7a3739c4f61a50f3d8186bb31f18997089757b6069fd
reference_iii,1,1,II,474,0.945309390583663,0.7620396600566572,0.9257142857142857,,,binary,,,,,,,,,,,,,,,,,,,,,3.423068099999,42,ecdb2816fbfecf3ce41ff2e3263e3bdaefd75a5bba81a8e030b7390f03e8d244,cb2cb2e442afa8d7158b02e4fe0114cf68696a9bf9f10f2a89c0ed63bc1301d2,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,73106452187ec28406b1e9cac6999f66e2ca99f6b70d32761de765cea721b8b6
