model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256
P1_a07,4,2;7;9;11,III;V2;V4;V6,936,0.9122538561514505,0.6869565217391305,0.7830985915492957,0.6817709751596677,0.6916219369935825,binary;multiclass,0.927266653941592,0.6405228758169934,0.7538461538461538,0.5384615384615384,0.9639182833627278,0.8969359331476323,0.8944444444444445,0.9111111111111111,0.9046496089297646,0.6419753086419753,0.6303030303030303,0.5575757575757576,0.954832475142466,0.8646408839779005,0.8258575197889182,0.7941952506596306,0.861012737762038,0.36477987421383645,0.35365853658536583,0.3170731707317073,6.575116799998796,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,598f71d7c7625f076e9a6697a33475f08a3360978e7b89005f24cde0ca0e7f7f
P1_a07,4,2;7;10;11,III;V2;V5;V6,936,0.9126069790823709,0.6956521739130435,0.790436005625879,0.6824022576469768,0.6900425552809876,binary;multiclass,0.9278011070815041,0.627831715210356,0.7461538461538462,0.5384615384615384,0.9639623750734861,0.9014084507042254,0.8888888888888888,0.9111111111111111,0.903619856149039,0.6375,0.6181818181818182,0.5515151515151515,0.9548182640701459,0.860655737704918,0.8311345646437994,0.7889182058047494,0.8642685782829724,0.38461538461538464,0.36585365853658536,0.36585365853658536,6.574050399998669,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,079ce15e47fb2391acaa056300495bb3b15afb818df0aa3f9e23a19b7f746ec7
P1_a07,4,2;8;9;10,III;V3;V4;V5,936,0.9108855047941343,0.6666666666666666,0.7835926449787836,0.6689404209173248,0.6758352493335439,binary;multiclass,0.9237449895018133,0.5967213114754099,0.7,0.5153846153846153,0.9626984126984127,0.895774647887324,0.8833333333333333,0.9111111111111111,0.9021263215815745,0.6358024691358025,0.6242424242424243,0.5393939393939394,0.9516918281597135,0.8493150684931506,0.8179419525065963,0.7889182058047494,0.8622550979608157,0.3670886075949367,0.35365853658536583,0.3170731707317073,6.565859599999385,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,645a7de5d15482201eb743dcdd670d6830457284ebb78af2acbb28d6b774d701
P1_a07,4,2;8;9;11,III;V3;V4;V6,936,0.909561293803183,0.6550724637681159,0.7837078651685393,0.6758846914757883,0.6849410423971206,binary;multiclass,0.9260832219889292,0.6209150326797386,0.7307692307692307,0.5538461538461539,0.9636390358612581,0.8857938718662952,0.8833333333333333,0.9111111111111111,0.9009707974688519,0.6441717791411042,0.6363636363636364,0.5636363636363636,0.9530608281265543,0.8591160220994475,0.820580474934037,0.7941952506596306,0.8654823784771806,0.36942675159235666,0.35365853658536583,0.34146341463414637,6.567888399997173,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,627f018b7a39a845274e98bbf403ceb19ae0176301876ae10ed212c3852793e8
P1_a07,4,2;8;10;11,III;V3;V5;V6,936,0.9109688810417127,0.6840579710144927,0.7807637906647807,0.6829940531216271,0.6906503800023331,binary;multiclass,0.9271712158808932,0.6072607260726073,0.7076923076923077,0.5615384615384615,0.9637786596119929,0.8913649025069638,0.8888888888888888,0.9111111111111111,0.9020005502495774,0.6584615384615384,0.6484848484848484,0.5515151515151515,0.9527718696560445,0.8528198074277854,0.8179419525065963,0.7810026385224275,0.8667104586736735,0.4050632911392405,0.3902439024390244,0.3048780487804878,6.580366199999844,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,24578cbce8defe6519616bb7ee21e5b43c104e8d40f0524257bac9d21ffeb5db
P1_a07,4,2;9;10;11,III;V4;V5;V6,936,0.9118614973393169,0.663768115942029,0.7785613540197461,0.6607196529699814,0.6696070413201503,binary;multiclass,0.9242221798053063,0.6045016077170418,0.7230769230769231,0.5153846153846153,0.9622134038800706,0.8969359331476323,0.8944444444444445,0.9111111111111111,0.9043115984750226,0.6481481481481481,0.6363636363636364,0.5333333333333333,0.9505928385669555,0.8587105624142661,0.8258575197889182,0.7968337730870713,0.8594562175129947,0.2953020134228188,0.2682926829268293,0.3048780487804878,6.582456299998739,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,29b8ad453c83084ef77b37e80259b02d366a5cd708914947b275d241925adfd6
P1_a07,4,3;4;5;6,aVR;aVL;aVF;V1,936,0.9146668628460728,0.6666666666666666,0.787292817679558,0.6868704869214628,0.695957805342579,binary;multiclass,0.9317617866004962,0.6402640264026402,0.7461538461538462,0.6,0.9678791887125221,0.8919667590027701,0.8944444444444445,0.9,0.9056321974609911,0.676737160120846,0.6787878787878788,0.6060606060606061,0.9588589456331744,0.8677685950413223,0.8311345646437994,0.8258575197889182,0.8691808990689438,0.3576158940397351,0.32926829268292684,0.35365853658536583,6.56305870000142,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,373e600e13ec0c571173bb36a9581a46faea58d20c01ac5ed5e5d414f18b7c03
P1_a07,4,3;4;5;7,aVR;aVL;aVF;V2,936,0.9142646950636357,0.6666666666666666,0.7848101265822784,0.6926661851152165,0.7009051281501245,binary;multiclass,0.9324393968314565,0.6534653465346535,0.7615384615384615,0.5846153846153846,0.9678497942386832,0.8913649025069638,0.8888888888888888,0.9,0.9036041347325394,0.6748466257668712,0.6666666666666666,0.5757575757575758,0.9559172536629039,0.8645690834473324,0.8337730870712401,0.820580474934037,0.8643399782943966,0.3790849673202614,0.35365853658536583,0.3780487804878049,6.5783846999984235,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,b27ef454ceec5134c92be78ce6168dae10f15560ac2c10f26e1b03fe3ed86f5b
P1_a07,4,3;4;5;8,aVR;aVL;aVF;V3,936,0.9133524608254248,0.6666666666666666,0.7905686546463245,0.6836750480871866,0.6907590141015716,binary;multiclass,0.9284978049246039,0.6308724832214765,0.7230769230769231,0.5769230769230769,0.9657554379776602,0.8888888888888888,0.8888888888888888,0.9,0.9075580709821955,0.6787878787878788,0.6787878787878788,0.5636363636363636,0.9531792537292222,0.8622100954979536,0.8337730870712401,0.7915567282321899,0.8614411378305821,0.3576158940397351,0.32926829268292684,0.35365853658536583,6.560384899999917,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,57601dc43ab1473675b0786a2a177e0f32d6e3a7da124cee356e3cbdf6878619
P1_a07,4,3;4;5;9,aVR;aVL;aVF;V4,936,0.9153632997376102,0.6985507246376812,0.7832167832167832,0.691530261327251,0.6998863970760489,binary;multiclass,0.9278488261118534,0.6416382252559727,0.7230769230769231,0.5769230769230769,0.963154027042916,0.8895027624309392,0.8944444444444445,0.9111111111111111,0.9102228510788821,0.683076923076923,0.6727272727272727,0.5878787878787879,0.952066053064144,0.8653846153846154,0.8311345646437994,0.8100263852242744,0.8528731364597018,0.3780487804878049,0.3780487804878049,0.3048780487804878,6.574294900001405,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,234a689f18e3645dfebbffd2b26ac1648a60b7835a466086debc7976db1e7692
