category,leads,metric,seeds,mean,std,min,max,paired_mean_delta_vs12,paired_min_delta_vs12,paired_max_delta_vs12,fraction_strictly_better_vs12
performance,II;aVR;V1;V2,macro_f1,10,0.7033130192619756,0.004887781223180104,0.6950904452152975,0.7115042280904275,0.01271581664055894,0.0035749799785348424,0.02287654648894133,1.0
performance,II;aVR;V1;V2,macro_sensitivity,10,0.7112040941375519,0.0050916122300326905,0.7025048896945415,0.7185265437096314,0.01386549295996493,0.004969729271807832,0.022412026125907314,1.0
performance,II;aVR;V1;V2,auroc_af,10,0.9673023221634331,0.0005265911718805527,0.9666078777189889,0.9680261610817167,0.00029174015285126086,-0.0003380364491474275,0.0007642563198119179,0.6
performance,II;aVR;V1;V2,f1_af,10,0.8966075299001975,0.0037043794748469728,0.8913649025069638,0.9,-0.0038472263094176174,-0.013129479515508136,0.0005586592178771221,0.3
performance,II;aVR;V1;V2,sensitivity_af,10,0.8961111111111111,0.004573736679714271,0.8888888888888888,0.9,0.0016666666666666386,-0.005555555555555647,0.005555555555555536,0.5
performance,II;aVR;V1;V2,sens95_af,10,0.9,0.0,0.9,0.9,-0.006666666666666643,-0.011111111111111072,-0.005555555555555536,0.0
performance,II;aVR;V1;V2,auroc_ischemia,10,0.9027465314624846,0.0009046339937611956,0.9014738827968399,0.9043823448492708,-0.0042589317297488495,-0.0054789136501199875,-0.0033565224226702606,0.0
performance,II;aVR;V1;V2,f1_ischemia,10,0.6847504988992399,0.009838155114840333,0.6666666666666666,0.6990881458966566,0.016032412727116852,0.0020703933747411307,0.03035863219349455,1.0
performance,II;aVR;V1;V2,sensitivity_ischemia,10,0.6799999999999999,0.012053683951657625,0.6606060606060606,0.696969696969697,0.026060606060606097,0.012121212121212088,0.048484848484848575,1.0
performance,II;aVR;V1;V2,sens95_ischemia,10,0.6133333333333334,0.013641974154451826,0.5818181818181818,0.6303030303030303,0.020606060606060593,0.006060606060605989,0.042424242424242475,1.0
performance,II;aVR;V1;V2,auroc_conduction,10,0.958031387521731,0.0004057408552606278,0.9573241498225984,0.9585747241867714,0.0006863947930631498,-0.0002226401330155392,0.001473214497188624,0.9
performance,II;aVR;V1;V2,f1_conduction,10,0.8673269279629524,0.00369933194479078,0.8626373626373627,0.873972602739726,-0.002165913936480446,-0.008110936682365177,0.002829986582932098,0.4
performance,II;aVR;V1;V2,sensitivity_conduction,10,0.8340369393139841,0.0058933564002641775,0.8258575197889182,0.841688654353562,-0.007124010554089721,-0.0158311345646438,0.0026385224274405594,0.1
performance,II;aVR;V1;V2,sens95_conduction,10,0.8300791556728233,0.007273904354665011,0.8126649076517151,0.8390501319261213,0.008443271767810035,-0.00527704485488123,0.02110817941952514,0.8
performance,II;aVR;V1;V2,auroc_ectopy,10,0.8660364425658308,0.0022192203764701767,0.8623122179699548,0.8695093391214942,0.0038556006168961043,7.140001142402763e-05,0.005940480950477056,1.0
performance,II;aVR;V1;V2,f1_ectopy,10,0.4190148270195858,0.014132809492374093,0.3972602739726027,0.44,0.028142318069234406,0.0061195406153072285,0.07888085069293121,1.0
performance,II;aVR;V1;V2,sensitivity_ectopy,10,0.3804878048780488,0.014991129198850235,0.35365853658536583,0.4024390243902439,0.004878048780487809,-0.02439024390243899,0.06097560975609756,0.3
performance,II;aVR;V1;V2,sens95_ectopy,10,0.375609756097561,0.020567659578330927,0.35365853658536583,0.4146341463414634,0.04268292682926829,0.0,0.09756097560975613,0.9
minimum_electrodes,II,macro_f1,10,0.6867431175692446,0.005231320097310637,0.6800160499636081,0.6949589532599696,-0.003854085052172096,-0.014316265402185446,0.012207513815590376,0.2
minimum_electrodes,II,macro_sensitivity,10,0.6974852770128528,0.005170012547429645,0.6904328782885962,0.7058672334237042,0.00014667583526583038,-0.008998164030019296,0.01633967079748655,0.5
minimum_electrodes,II,auroc_af,10,0.9660192533803645,0.0011294233960810565,0.9643077601410933,0.9680629041740153,-0.0009913286302175473,-0.002572016460905324,0.000646678424456204,0.1
minimum_electrodes,II,f1_af,10,0.8925351732951619,0.002995785756965824,0.8888888888888888,0.8969359331476323,-0.007919582914453261,-0.013129479515508136,0.0,0.0
minimum_electrodes,II,sensitivity_af,10,0.8927777777777777,0.0026835882863314215,0.8888888888888888,0.8944444444444445,-0.001666666666666694,-0.005555555555555647,0.0,0.0
minimum_electrodes,II,sens95_af,10,0.9055555555555556,0.0,0.9055555555555556,0.9055555555555556,-0.0011111111111111072,-0.005555555555555536,0.0,0.0
minimum_electrodes,II,auroc_ischemia,10,0.8889753566796369,0.0013641292303163506,0.8869237118264356,0.8914986440278267,-0.01803010651259679,-0.02125535510749521,-0.015579923751130043,0.0
minimum_electrodes,II,f1_ischemia,10,0.6560206726414348,0.0065074066336821635,0.6449704142011834,0.6646884272997032,-0.012697413530688251,-0.02812477171451533,0.004137968584106866,0.2
minimum_electrodes,II,sensitivity_ischemia,10,0.6715151515151515,0.00745013693518618,0.6606060606060606,0.6848484848484848,0.017575757575757578,0.0,0.048484848484848575,0.9
minimum_electrodes,II,sens95_ischemia,10,0.5781818181818182,0.01315460250189875,0.5575757575757576,0.6060606060606061,-0.014545454545454528,-0.042424242424242475,0.012121212121212088,0.2
minimum_electrodes,II,auroc_conduction,10,0.9431097615855768,0.0011310020235199762,0.9417156553909702,0.9449131466630034,-0.014235231143091243,-0.015925875046778115,-0.012197837074792828,0.0
minimum_electrodes,II,f1_conduction,10,0.8472566328046964,0.0023848360206122476,0.8437067773167358,0.8507670850767085,-0.022236209094736316,-0.026334262354946847,-0.01814195107677463,0.0
minimum_electrodes,II,sensitivity_conduction,10,0.8042216358839049,0.0036897408906601766,0.7994722955145118,0.8100263852242744,-0.036939313984168866,-0.04221635883905017,-0.0316622691292876,0.0
minimum_electrodes,II,sens95_conduction,10,0.7968337730870713,0.005421648199620934,0.7915567282321899,0.8047493403693932,-0.02480211081794196,-0.0395778364116095,-0.0158311345646438,0.0
minimum_electrodes,II,auroc_ectopy,10,0.8497044039527047,0.0035470818566834083,0.845061975209916,0.8555434968869595,-0.01247643799623004,-0.017978522876563652,-0.006040440966470495,0.0
minimum_electrodes,II,f1_ectopy,10,0.37540944766535306,0.021125162724048845,0.35135135135135137,0.41509433962264153,-0.015463061284998364,-0.060105624947606684,0.03396603396603398,0.2
minimum_electrodes,II,sensitivity_ectopy,10,0.35121951219512193,0.026218724384710727,0.3170731707317073,0.4024390243902439,-0.02439024390243902,-0.07317073170731708,0.036585365853658514,0.2
minimum_electrodes,II,sens95_ectopy,10,0.3524390243902439,0.03422851127645673,0.2926829268292683,0.4024390243902439,0.019512195121951216,-0.03658536585365857,0.07317073170731708,0.7
